tokens per iteration will be: 6,144
found vocab_size = 1061 (inside data\qaoa\meta.pkl)
Initializing a new model from scratch
number of parameters: 6.49M
C:\Users\ruair\Ruairi\5th Year UCD\Thesis\QAOA-GPT\QAOA-GPT NanoGPT\nanoGPT\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 22, with 6,524,480 parameters
num non-decayed parameter tensors: 11, with 3,520 parameters
using fused AdamW: False
step 0: train loss 7.0579, val loss 7.0612
iter 0: loss 7.0563, time 49813.97ms, mfu -100.00%
iter 20: loss 5.6553, time 3072.44ms, mfu 0.03%
iter 40: loss 4.7080, time 3829.66ms, mfu 0.03%
iter 60: loss 3.8472, time 3249.52ms, mfu 0.03%
iter 80: loss 3.2543, time 2697.67ms, mfu 0.03%
iter 100: loss 2.7583, time 3590.92ms, mfu 0.03%
iter 120: loss 2.6095, time 3552.43ms, mfu 0.03%
iter 140: loss 2.3209, time 3517.87ms, mfu 0.03%
iter 160: loss 2.2461, time 3559.07ms, mfu 0.03%
iter 180: loss 2.1940, time 3542.88ms, mfu 0.02%
step 200: train loss 2.1847, val loss 2.2214
saving checkpoint to out-qaoa
iter 200: loss 2.1720, time 30204.38ms, mfu 0.02%
iter 220: loss 2.1772, time 3574.06ms, mfu 0.02%
iter 240: loss 2.1954, time 3489.44ms, mfu 0.02%
iter 260: loss 2.1903, time 3556.38ms, mfu 0.02%
iter 280: loss 2.1849, time 3513.72ms, mfu 0.02%
iter 300: loss 2.1145, time 3508.64ms, mfu 0.02%
iter 320: loss 2.1524, time 3575.31ms, mfu 0.02%
iter 340: loss 2.1680, time 3500.34ms, mfu 0.02%
iter 360: loss 2.1544, time 3535.73ms, mfu 0.02%
iter 380: loss 2.1201, time 3508.57ms, mfu 0.02%
step 400: train loss 2.1069, val loss 2.1636
saving checkpoint to out-qaoa
iter 400: loss 2.1073, time 30678.67ms, mfu 0.02%
iter 420: loss 2.1721, time 3551.36ms, mfu 0.02%
iter 440: loss 2.0472, time 3568.16ms, mfu 0.02%
iter 460: loss 2.1603, time 3584.53ms, mfu 0.02%
iter 480: loss 2.1703, time 3598.46ms, mfu 0.02%
iter 500: loss 2.1166, time 3564.52ms, mfu 0.02%
iter 520: loss 2.1540, time 3628.95ms, mfu 0.02%
iter 540: loss 2.0553, time 3583.47ms, mfu 0.02%
iter 560: loss 2.1165, time 3528.03ms, mfu 0.02%
iter 580: loss 2.0941, time 3534.38ms, mfu 0.02%
step 600: train loss 2.0682, val loss 2.1147
saving checkpoint to out-qaoa
iter 600: loss 2.0662, time 30503.19ms, mfu 0.02%
iter 620: loss 2.0825, time 3552.74ms, mfu 0.02%
iter 640: loss 2.0715, time 3549.39ms, mfu 0.02%
