tokens per iteration will be: 6,144
found vocab_size = 1061 (inside data\qaoa\meta.pkl)
Resuming training from out-qaoa
number of parameters: 6.49M
C:\Users\ruair\Ruairi\5th Year UCD\Thesis\QAOA-GPT\QAOA-GPT NanoGPT\nanoGPT\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 22, with 6,524,480 parameters
num non-decayed parameter tensors: 11, with 3,520 parameters
using fused AdamW: False
step 10000: train loss 0.3186, val loss 0.9846
saving checkpoint to out-qaoa
iter 10000: loss 0.5236, time 44203.04ms, mfu -100.00%
iter 10020: loss 0.5231, time 2649.18ms, mfu 0.03%
iter 10040: loss 0.5029, time 3323.34ms, mfu 0.03%
iter 10060: loss 0.5167, time 3459.89ms, mfu 0.03%
iter 10080: loss 0.5126, time 3438.89ms, mfu 0.03%
iter 10100: loss 0.5043, time 3425.33ms, mfu 0.03%
iter 10120: loss 0.5563, time 3405.11ms, mfu 0.03%
iter 10140: loss 0.4881, time 3481.47ms, mfu 0.03%
iter 10160: loss 0.5196, time 3402.03ms, mfu 0.03%
iter 10180: loss 0.5248, time 3440.04ms, mfu 0.03%
step 10200: train loss 0.3224, val loss 0.9876
saving checkpoint to out-qaoa
iter 10200: loss 0.5150, time 27583.15ms, mfu 0.02%
iter 10220: loss 0.5088, time 3430.53ms, mfu 0.02%
iter 10240: loss 0.5148, time 3425.56ms, mfu 0.02%
iter 10260: loss 0.5029, time 3463.61ms, mfu 0.02%
iter 10280: loss 0.4964, time 3423.50ms, mfu 0.02%
iter 10300: loss 0.4813, time 3407.32ms, mfu 0.02%
iter 10320: loss 0.4886, time 3402.56ms, mfu 0.02%
iter 10340: loss 0.5214, time 3431.43ms, mfu 0.02%
iter 10360: loss 0.4898, time 3426.77ms, mfu 0.02%
iter 10380: loss 0.5302, time 3428.83ms, mfu 0.02%
step 10400: train loss 0.3122, val loss 1.0211
saving checkpoint to out-qaoa
iter 10400: loss 0.5058, time 27839.69ms, mfu 0.02%
iter 10420: loss 0.5009, time 3425.42ms, mfu 0.02%
iter 10440: loss 0.5158, time 3423.50ms, mfu 0.02%
iter 10460: loss 0.5246, time 3456.06ms, mfu 0.02%
iter 10480: loss 0.4980, time 3522.98ms, mfu 0.02%
iter 10500: loss 0.4972, time 3444.63ms, mfu 0.02%
iter 10520: loss 0.4496, time 3479.24ms, mfu 0.02%
iter 10540: loss 0.4799, time 3448.63ms, mfu 0.02%
iter 10560: loss 0.5238, time 3436.33ms, mfu 0.02%
iter 10580: loss 0.5132, time 3451.73ms, mfu 0.02%
step 10600: train loss 0.3147, val loss 1.0298
saving checkpoint to out-qaoa
iter 10600: loss 0.5174, time 27746.67ms, mfu 0.02%
